OBJECTID,Tents,Density,Date,Camp,Shape_Length,Shape_Area
1,22,0.03991853,2/26/2021,Murals East,104.362537,551.122502
2,26,0.020822764,2/26/2021,Murals South,347.9991358,1248.633473
3,26,0.022949948,2/26/2021,Murals West,280.5638329,1132.900187
4,7,0.00851533,2/26/2021,8th & Main,247.4253566,822.0468138
5,26,0.006972989,2/26/2021,Lowes,533.1099617,3728.673397
6,2,0.009345618,2/26/2021,North Temple 1,95.55156545,214.0040325
7,51,0.006257049,2/26/2021,KOA,529.6866787,8150.806635
8,29,0.011433253,2/26/2021,Roadhome 1,334.6916423,2536.460887
9,52,0.008197674,2/26/2021,Roadhome 2,610.898865,6343.263089
10,3,0.051287457,2/26/2021,Murals North,30.60155014,58.49383415
11,2,0.002024136,2/26/2021,Liberty,170.9565702,988.0757626
