OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,16,0.016864732,5/24/2021,8th & Main,257.2328781,948.725414
2,60,0.013329893,5/24/2021,Roadhome 1,448.9795027,4501.161369
3,91,0.011527421,5/24/2021,Roadhome 2,1310.574529,7894.220191
4,17,0.013165549,5/24/2021,Train Tracks,202.3336549,1291.248885
5,34,0.018887225,5/24/2021,500 Underpass,276.7440116,1800.158605
6,22,0.005207052,5/24/2021,Beck Street,253.1517612,4225.039602
7,4,0.007245667,5/24/2021,800W South Temple,128.7878022,552.054054
8,5,0.010936322,5/24/2021,700 Underpass,124.4505724,457.1920834
9,5,0.008241864,5/24/2021,Lowes,143.8002628,606.6588968
10,5,0.032996948,5/24/2021,700W & Tracks,56.82151799,151.5291657
11,14,0.015294553,5/24/2021,Redwood and North Temple,176.3531388,915.3585844
12,8,0.018268446,5/24/2021,600 S 200 W,194.1009717,437.9135388
13,27,0.042824454,5/24/2021,400S 500W,261.7655751,630.4808913
14,10,0.029021116,5/24/2021,Train Tracks 3,90.68687741,344.5766925
15,5,0.004737419,5/24/2021,Genesee,134.9686416,1055.42693
16,2,0.031685605,5/24/2021,KOA,31.80349493,63.12014546
18,2,0.029128428,5/24/2021,600 S 500 W,37.81893999,68.66144745
19,2,0.02975162,5/24/2021,Smiths 500S,33.17772208,67.22323014
20,5,0.016143317,5/24/2021,North Temple 2,175.0404076,309.7256848
21,4,0.079152389,5/24/2021,600W South Temple,28.69928668,50.53542959
22,2,0.05049603,5/24/2021,Train Tracks 2,25.28792421,39.60707372
23,2,0.021304227,5/24/2021,Liberty 2,40.1123121,93.87808529
24,2,0.029811401,5/24/2021,700S Main,34.17062899,67.0884275
