OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,14,0.010842217,9/3/2021,Train Tracks,202.3336549,1291.248885
2,7,0.000839141,9/3/2021,Liberty,542.9478909,8341.863378
3,2,0.005463922,9/3/2021,500 W South Temple,98.42053521,366.0374249
5,4,0.031021317,9/3/2021,Fairpark ,45.47488014,128.9435905
6,3,0.014649209,9/3/2021,Lowes,63.42151386,204.7892135
7,8,0.002824497,9/3/2021,Beck Street,221.0268844,2832.362336
8,19,0.004684367,9/3/2021,Train Tracks 2,418.2608569,4056.04402
11,4,0.02017002,9/3/2021,Foss ,63.41365646,198.3141319
12,2,0.028342627,9/3/2021,600 S 500 W,34.35776734,70.56508984
13,3,0.005600577,9/3/2021,Fairmont Park,93.80653355,535.6591145
16,4,0.021785368,9/3/2021,North Temple River,55.63009065,183.6094785
17,2,0.012297554,9/3/2021,Train Tracks 4,55.51727771,162.6339669
18,4,0.027110015,9/3/2021,Mead Ave,67.05751537,147.5469506
